0.000000	-2.000000	1.000000	-nan	-nan	1.000000	1.000000
0.050000	-2.000000	1.000000	0.000000	0.000000	1.000000	1.000000
0.100000	-2.000000	1.000000	0.000000	0.000000	1.000000	1.000000
0.150000	-2.000000	1.000000	0.000000	0.000000	1.000000	1.000000
0.200000	-2.000000	1.000000	0.000000	0.000000	1.000000	1.000000
0.250000	-2.000000	1.000000	0.000000	0.000000	1.000000	1.000000
0.300000	-2.000000	1.000000	0.000000	0.000000	1.000000	1.000000
0.350000	-2.000000	1.000000	0.000000	0.000000	1.000000	1.000000
0.400000	-2.000000	1.000000	0.000000	0.000000	1.000000	1.000000
0.450000	-2.000000	1.000000	0.000000	0.000000	1.000000	1.000000
0.500000	-2.000000	1.000000	0.000000	0.000000	1.000000	1.000000
0.550000	-1.999997	0.999999	0.000090	0.000003	0.999998	0.999997
0.600000	-1.999987	0.999997	0.000275	0.000010	0.999994	0.999987
0.650000	-1.999965	0.999991	0.000628	0.000026	0.999983	0.999965
0.700000	-1.999915	0.999979	0.001406	0.000062	0.999957	0.999915
0.750000	-1.999795	0.999948	0.002769	0.000133	0.999897	0.999794
0.800000	-1.999606	0.999901	0.005089	0.000259	0.999802	0.999604
0.850000	-1.999278	0.999818	0.007336	0.000403	0.999635	0.999270
0.900000	-1.998855	0.999711	0.011410	0.000672	0.999421	0.998843
0.950000	-1.998142	0.999529	0.016408	0.001023	0.999059	0.998118
1.000000	-1.997139	0.999269	0.023467	0.001589	0.998539	0.997081
1.050000	-1.995739	0.998909	0.033422	0.002385	0.997820	0.995645
1.100000	-1.993911	0.998432	0.043046	0.003286	0.996867	0.993744
1.150000	-1.991571	0.997816	0.054522	0.004511	0.995637	0.991295
1.200000	-1.988588	0.997022	0.061803	0.005380	0.994053	0.988143
1.250000	-1.985007	0.996066	0.084184	0.007703	0.992148	0.984359
1.300000	-1.980305	0.994789	0.104003	0.010088	0.989607	0.979325
1.350000	-1.974714	0.993237	0.120599	0.013134	0.986522	0.973229
1.400000	-1.968099	0.991387	0.140954	0.016379	0.982849	0.965998
1.450000	-1.960289	0.989168	0.167255	0.021032	0.978455	0.957381
1.500000	-1.951291	0.986553	0.204897	0.027819	0.973290	0.947303
1.550000	-1.940389	0.983300	0.222733	0.033267	0.966882	0.934873
1.600000	-1.928332	0.979659	0.255860	0.042129	0.959736	0.921109
1.650000	-1.914224	0.975255	0.290762	0.051151	0.951127	0.904662
1.700000	-1.898538	0.970183	0.374217	0.074633	0.941262	0.886003
1.750000	-1.879612	0.963873	0.391776	0.086100	0.929060	0.863186
1.800000	-1.859205	0.956799	0.429202	0.115051	0.915477	0.838144
1.850000	-1.836625	0.948718	0.498922	0.143617	0.900082	0.810206
